open_time,open,high,low,close,volume_coin,volume_usd,num_trades,close_time
2025-03-07 00:00:00+00:00,2202.21,2258.47,2101.82,2141.6,782387.2606,1698459492.23933,4452265,2025-03-07 23:59:59.999000+00:00
2025-03-08 00:00:00+00:00,2141.6,2234.93,2105.06,2203.58,328793.0979,714743022.410347,2118806,2025-03-08 23:59:59.999000+00:00
2025-03-09 00:00:00+00:00,2203.57,2212.0,1989.66,2020.41,601671.5882,1249766628.544949,2791079,2025-03-09 23:59:59.999000+00:00
2025-03-10 00:00:00+00:00,2020.43,2152.4,1810.01,1865.1,1248745.3514,2461512870.770777,5261040,2025-03-10 23:59:59.999000+00:00
2025-03-11 00:00:00+00:00,1865.11,1963.2,1754.28,1923.43,1171427.9995,2203451540.611388,4578427,2025-03-11 23:59:59.999000+00:00
2025-03-12 00:00:00+00:00,1923.42,1960.0,1829.72,1908.2,788739.6763,1494384669.01818,3444921,2025-03-12 23:59:59.999000+00:00
2025-03-13 00:00:00+00:00,1908.2,1923.09,1821.81,1864.59,569537.2622,1069629049.44307,2688683,2025-03-13 23:59:59.999000+00:00
2025-03-14 00:00:00+00:00,1864.59,1945.64,1861.31,1911.65,375805.7355,718122712.753679,1728618,2025-03-14 23:59:59.999000+00:00
2025-03-15 00:00:00+00:00,1911.64,1957.19,1903.75,1937.17,209545.8675,404571982.738394,884429,2025-03-15 23:59:59.999000+00:00
2025-03-16 00:00:00+00:00,1937.18,1940.87,1860.38,1887.0,324766.6564,616620264.891675,1466585,2025-03-16 23:59:59.999000+00:00
2025-03-17 00:00:00+00:00,1887.01,1952.4,1879.98,1926.31,334840.4877,641484974.278307,1566024,2025-03-17 23:59:59.999000+00:00
2025-03-18 00:00:00+00:00,1926.3,1936.2,1872.31,1931.54,332896.0155,632109997.551311,1549810,2025-03-18 23:59:59.999000+00:00
2025-03-19 00:00:00+00:00,1931.54,2069.9,1927.58,2056.06,691809.5034,1385193898.481618,2614680,2025-03-19 23:59:59.999000+00:00
2025-03-20 00:00:00+00:00,2056.05,2067.9,1952.17,1983.79,401518.9282,800851703.937569,1885019,2025-03-20 23:59:59.999000+00:00
2025-03-21 00:00:00+00:00,1983.79,1996.73,1937.1,1965.75,262641.659,516587945.858554,1470569,2025-03-21 23:59:59.999000+00:00
2025-03-22 00:00:00+00:00,1965.74,2006.61,1964.34,1980.69,170782.9574,339679365.319319,833146,2025-03-22 23:59:59.999000+00:00
2025-03-23 00:00:00+00:00,1980.68,2020.74,1976.81,2005.99,268707.5233,537810044.752251,973880,2025-03-23 23:59:59.999000+00:00
2025-03-24 00:00:00+00:00,2005.99,2104.11,1977.67,2081.2,477912.8154,985984215.594533,1804046,2025-03-24 23:59:59.999000+00:00
2025-03-25 00:00:00+00:00,2081.2,2097.7,2037.08,2066.15,328765.3292,678919919.780749,1398034,2025-03-25 23:59:59.999000+00:00
2025-03-26 00:00:00+00:00,2066.16,2079.21,1981.6,2009.52,428975.3286,872757205.466645,1468474,2025-03-26 23:59:59.999000+00:00
2025-03-27 00:00:00+00:00,2009.52,2037.38,1987.06,2003.66,360634.8383,726385594.534751,1394730,2025-03-27 23:59:59.999000+00:00
2025-03-28 00:00:00+00:00,2003.67,2015.93,1860.0,1896.9,626167.5832,1197329354.058415,2245087,2025-03-28 23:59:59.999000+00:00
2025-03-29 00:00:00+00:00,1896.9,1913.6,1797.2,1828.08,409769.7555,758545295.871779,1755638,2025-03-29 23:59:59.999000+00:00
2025-03-30 00:00:00+00:00,1828.09,1849.01,1767.69,1807.74,327843.4476,595676639.883548,1523210,2025-03-30 23:59:59.999000+00:00
2025-03-31 00:00:00+00:00,1807.74,1854.22,1776.75,1822.43,497854.9052,904456573.010415,2283021,2025-03-31 23:59:59.999000+00:00
2025-04-01 00:00:00+00:00,1822.43,1927.9,1817.88,1904.98,452989.0974,851190042.273377,2141608,2025-04-01 23:59:59.999000+00:00
2025-04-02 00:00:00+00:00,1904.98,1957.0,1781.53,1795.22,750840.7823,1411539014.562126,3408080,2025-04-02 23:59:59.999000+00:00
2025-04-03 00:00:00+00:00,1795.21,1845.26,1750.0,1817.23,508075.018,912214691.840036,2579520,2025-04-03 23:59:59.999000+00:00
2025-04-04 00:00:00+00:00,1817.23,1835.68,1758.72,1816.87,572734.4702,1030518559.141754,2647730,2025-04-04 23:59:59.999000+00:00
2025-04-05 00:00:00+00:00,1816.88,1827.29,1764.39,1806.01,201716.2696,362822603.997079,861593,2025-04-05 23:59:59.999000+00:00
2025-04-06 00:00:00+00:00,1806.02,1817.0,1537.5,1580.76,979847.0958,1621420911.803542,3251935,2025-04-06 23:59:59.999000+00:00
2025-04-07 00:00:00+00:00,1580.77,1639.0,1411.01,1553.04,2168796.0067,3314200223.327178,5723226,2025-04-07 23:59:59.999000+00:00
2025-04-08 00:00:00+00:00,1553.04,1618.67,1441.3,1473.41,891846.1327,1361139288.977932,3369669,2025-04-08 23:59:59.999000+00:00
2025-04-09 00:00:00+00:00,1473.41,1689.0,1385.05,1669.51,1968530.9138,2995077137.626647,4723847,2025-04-09 23:59:59.999000+00:00
2025-04-10 00:00:00+00:00,1669.51,1669.85,1471.02,1522.25,911855.3934,1425649915.894919,3007121,2025-04-10 23:59:59.999000+00:00
2025-04-11 00:00:00+00:00,1522.24,1591.47,1504.63,1566.85,578484.3183,901210974.608363,2547292,2025-04-11 23:59:59.999000+00:00
2025-04-12 00:00:00+00:00,1566.85,1669.59,1546.06,1644.18,501867.9033,813176435.313973,2177800,2025-04-12 23:59:59.999000+00:00
