ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-03-25,82629.5567155756,76630.84880026143,88786.28516242279,82629.5567155756,82629.5567155756,40.404073086705544,40.404073086705544,40.404073086705544,40.404073086705544,40.404073086705544,40.404073086705544,0.0,0.0,0.0,82669.96078866231
2025-03-26,82964.22763565785,77409.0882853729,90174.6533038201,82964.22763565785,82964.22763565785,447.27229292817424,447.27229292817424,447.27229292817424,447.27229292817424,447.27229292817424,447.27229292817424,0.0,0.0,0.0,83411.49992858602
2025-03-27,83298.89855574009,76629.30812942793,89779.483175971,83298.89855574009,83298.89855574009,73.8550103746014,73.8550103746014,73.8550103746014,73.8550103746014,73.8550103746014,73.8550103746014,0.0,0.0,0.0,83372.75356611468
2025-03-28,83633.56947582233,77685.32213667338,90002.0203321209,83633.56947582233,83633.56947582233,76.38119446550398,76.38119446550398,76.38119446550398,76.38119446550398,76.38119446550398,76.38119446550398,0.0,0.0,0.0,83709.95067028783
2025-03-29,83968.24039590456,77212.98800663474,89934.31891966441,83968.24039590456,83968.24039590456,-448.2631358820728,-448.2631358820728,-448.2631358820728,-448.2631358820728,-448.2631358820728,-448.2631358820728,0.0,0.0,0.0,83519.97726002248
2025-03-30,84302.91131598681,78095.06576205962,90390.58712717835,84302.91131598681,84302.91131598681,-209.42482426251536,-209.42482426251536,-209.42482426251536,-209.42482426251536,-209.42482426251536,-209.42482426251536,0.0,0.0,0.0,84093.4864917243
2025-03-31,84637.58223606905,78425.80376346041,91324.38437786665,84637.58223606905,84637.58223606905,19.775389290016346,19.775389290016346,19.775389290016346,19.775389290016346,19.775389290016346,19.775389290016346,0.0,0.0,0.0,84657.35762535907
2025-04-01,84972.25315615129,79090.88458992697,91282.21212338208,84972.25315615129,84972.25315615129,40.40407308758324,40.40407308758324,40.40407308758324,40.40407308758324,40.40407308758324,40.40407308758324,0.0,0.0,0.0,85012.65722923887
2025-04-02,85306.92407623354,79550.03193306015,92465.29483755607,85306.92407623354,85306.92407623354,447.2722929283678,447.2722929283678,447.2722929283678,447.2722929283678,447.2722929283678,447.2722929283678,0.0,0.0,0.0,85754.1963691619
2025-04-03,85641.59499631579,79399.05154171531,92044.04093900208,85641.59499631579,85641.59499631579,73.8550103744503,73.8550103744503,73.8550103744503,73.8550103744503,73.8550103744503,73.8550103744503,0.0,0.0,0.0,85715.45000669024
2025-04-04,85976.26591639803,80176.2134938061,92759.4002057428,85976.26591639803,85976.26591639803,76.38119446565427,76.38119446565427,76.38119446565427,76.38119446565427,76.38119446565427,76.38119446565427,0.0,0.0,0.0,86052.64711086368
2025-04-05,86310.93683648026,79620.68530992595,92065.42412669334,86310.93683648026,86310.93683648026,-448.2631358819081,-448.2631358819081,-448.2631358819081,-448.2631358819081,-448.2631358819081,-448.2631358819081,0.0,0.0,0.0,85862.67370059836
2025-04-08,87314.9495982187,81071.51032749389,93328.61629031216,87314.9495982187,87314.9495982187,40.404073086484054,40.404073086484054,40.404073086484054,40.404073086484054,40.404073086484054,40.404073086484054,0.0,0.0,0.0,87355.35367130519
2025-04-10,87984.29143937766,81528.51770444929,94054.42266836939,87984.29143937766,87984.29143937766,73.85501037429432,73.85501037429432,73.85501037429432,73.85501037429432,73.85501037429432,73.85501037429432,0.0,0.0,0.0,88058.14644975195
2025-04-12,88653.63328053661,81639.32148798117,94518.42715122826,88653.63328053661,88653.63328053661,-448.26313588273786,-448.26313588273786,-448.26313588273786,-448.26313588273786,-448.26313588273786,-448.26313588273786,0.0,0.0,0.0,88205.37014465388
2025-04-13,88988.30420111607,82545.62239954164,95413.91463527069,88988.30420111607,88988.30420111607,-209.42482426364325,-209.42482426364325,-209.42482426364325,-209.42482426364325,-209.42482426364325,-209.42482426364325,0.0,0.0,0.0,88778.87937685243
2025-04-14,89322.97512169555,82850.34666284133,95631.14237824625,89322.97512169555,89322.97512169555,19.775389290873672,19.775389290873672,19.775389290873672,19.775389290873672,19.775389290873672,19.775389290873672,0.0,0.0,0.0,89342.75051098643
2025-04-15,89657.64604227502,83153.70905467642,96065.47044083953,89657.64604227502,89657.64604227502,40.404073087361745,40.404073087361745,40.404073087361745,40.404073087361745,40.404073087361745,40.404073087361745,0.0,0.0,0.0,89698.05011536239
