open_time,open,high,low,close,volume_coin,volume_usd,num_trades,close_time
2025-03-07 00:00:00+00:00,89931.88,91283.02,84667.03,86801.75,57980.35713,5097554826.613157,9510442,2025-03-07 23:59:59.999000+00:00
2025-03-08 00:00:00+00:00,86801.74,86897.25,85218.47,86222.45,12989.23054,1119358968.6520054,2553974,2025-03-08 23:59:59.999000+00:00
2025-03-09 00:00:00+00:00,86222.46,86500.0,80000.0,80734.37,26115.39345,2173552660.454479,5189138,2025-03-09 23:59:59.999000+00:00
2025-03-10 00:00:00+00:00,80734.48,84123.46,77459.91,78595.86,47633.38405,3834924947.758186,8701538,2025-03-10 23:59:59.999000+00:00
2025-03-11 00:00:00+00:00,78595.86,83617.4,76606.0,82932.99,48770.06853,3927000827.1107917,6983310,2025-03-11 23:59:59.999000+00:00
2025-03-12 00:00:00+00:00,82932.99,84539.85,80607.65,83680.12,31933.986,2638600996.825396,5253577,2025-03-12 23:59:59.999000+00:00
2025-03-13 00:00:00+00:00,83680.12,84336.33,79939.9,81115.78,27546.27412,2260870111.2393894,4367093,2025-03-13 23:59:59.999000+00:00
2025-03-14 00:00:00+00:00,81115.78,85309.71,80818.84,83983.2,26858.52755,2244729595.5411716,3290987,2025-03-14 23:59:59.999000+00:00
2025-03-15 00:00:00+00:00,83983.19,84676.28,83618.0,84338.44,11324.7332,953445671.8337505,1329670,2025-03-15 23:59:59.999000+00:00
2025-03-16 00:00:00+00:00,84338.44,85117.04,81981.12,82574.53,17596.12531,1468056556.2967227,2767947,2025-03-16 23:59:59.999000+00:00
2025-03-17 00:00:00+00:00,82574.52,84756.83,82456.0,84010.03,17214.74358,1437716814.0468738,3014756,2025-03-17 23:59:59.999000+00:00
2025-03-18 00:00:00+00:00,84010.02,84021.74,81134.66,82715.03,17610.89883,1450813055.479726,3126371,2025-03-18 23:59:59.999000+00:00
2025-03-19 00:00:00+00:00,82715.03,87000.0,82547.16,86845.94,28151.05374,2375813941.9437623,3774761,2025-03-19 23:59:59.999000+00:00
2025-03-20 00:00:00+00:00,86845.93,87453.67,83655.23,84223.39,22090.30463,1885241921.1556518,3252595,2025-03-20 23:59:59.999000+00:00
2025-03-21 00:00:00+00:00,84223.38,84850.33,83175.25,84088.79,11956.97443,1005135519.2560017,2360005,2025-03-21 23:59:59.999000+00:00
2025-03-22 00:00:00+00:00,84088.79,84539.17,83625.1,83840.59,5420.22114,456235443.8016522,864481,2025-03-22 23:59:59.999000+00:00
2025-03-23 00:00:00+00:00,83840.59,86129.64,83809.75,86082.5,8461.97813,718692319.1499038,1206533,2025-03-23 23:59:59.999000+00:00
2025-03-24 00:00:00+00:00,86082.5,88765.43,85519.09,87498.16,30115.62111,2636765917.9518433,2916713,2025-03-24 23:59:59.999000+00:00
2025-03-25 00:00:00+00:00,87498.16,88539.63,86310.0,87392.87,22643.25248,1979571590.8982937,2802815,2025-03-25 23:59:59.999000+00:00
2025-03-26 00:00:00+00:00,87392.88,88275.0,85860.0,86909.17,18408.78485,1606406955.5864632,2380154,2025-03-26 23:59:59.999000+00:00
2025-03-27 00:00:00+00:00,86909.17,87756.39,85800.0,87232.01,17098.03897,1487968807.7079022,2376381,2025-03-27 23:59:59.999000+00:00
2025-03-28 00:00:00+00:00,87232.01,87515.67,83585.0,84424.38,27182.73169,2309946560.664114,3236085,2025-03-28 23:59:59.999000+00:00
2025-03-29 00:00:00+00:00,84424.38,84624.73,81644.81,82648.54,11696.39864,970199917.9868716,2172387,2025-03-29 23:59:59.999000+00:00
2025-03-30 00:00:00+00:00,82648.53,83534.64,81565.0,82389.99,9864.49508,816584795.5288126,1907663,2025-03-30 23:59:59.999000+00:00
2025-03-31 00:00:00+00:00,82390.0,83943.08,81278.52,82550.01,20569.13885,1696009191.0809648,3964358,2025-03-31 23:59:59.999000+00:00
2025-04-01 00:00:00+00:00,82550.0,85579.46,82432.74,85158.34,20190.39697,1698895702.5754683,3328693,2025-04-01 23:59:59.999000+00:00
2025-04-02 00:00:00+00:00,85158.35,88500.0,82320.0,82516.29,39931.457,3417279759.830764,5338238,2025-04-02 23:59:59.999000+00:00
2025-04-03 00:00:00+00:00,82516.28,83998.02,81211.24,83213.09,27337.84135,2259299724.8643928,4117486,2025-04-03 23:59:59.999000+00:00
2025-04-04 00:00:00+00:00,83213.09,84720.0,81659.0,83889.87,32915.53976,2739842666.426737,4992586,2025-04-04 23:59:59.999000+00:00
2025-04-05 00:00:00+00:00,83889.87,84266.0,82379.95,83537.99,9360.40468,779626577.9013436,1575750,2025-04-05 23:59:59.999000+00:00
